claim,label
"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.",CONTRADICT
A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,CONTRADICT
A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,SUPPORT
ADAR1 binds to Dicer to cleave pre-miRNA.,SUPPORT
AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,SUPPORT
Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,SUPPORT
Activation of PPM1D enhances p53 function.,CONTRADICT
Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.,SUPPORT
Active Ly49Q prevents neutrophil polarization.,CONTRADICT
Active caspase-11 protein promotes pyroptosis.,SUPPORT
Aggravated inflammation is dependent on NLRP3 inflammasome activation.,SUPPORT
Alirocumab treatment reduces apo(a) fractional clearance rate.,CONTRADICT
Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.,CONTRADICT
Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,SUPPORT
Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,CONTRADICT
Articles published in open access format are less likely to be cited than traditional journals.,CONTRADICT
"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",SUPPORT
Auditory entrainment is strengthened when people see congruent visual and auditory information.,SUPPORT
Bariatric surgery increases rates of colorectal cancer.,SUPPORT
Bariatric surgery leads to negative outcomes in mental health.,CONTRADICT
COPI coatmer is involved in lipid homeostasis.,SUPPORT
Cardiac tissue-resident macrophages directly contribute to electrical activity.,SUPPORT
Cell autonomous sex determination in somatic cells occurs in Galliformes.,SUPPORT
Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.,CONTRADICT
Charcoal is an effective treatment for acute paraquat poisoning.,CONTRADICT
Chenodeosycholic acid treatment increases whole-body energy expenditure.,SUPPORT
Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,CONTRADICT
"Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.",SUPPORT
Clathrin stabilizes the spindle fiber apparatus during mitosis.,SUPPORT
Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,SUPPORT
Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.,SUPPORT
Converting apoE4 to apoE3 by gene editing worsens the pathology associated with apoE4 in human iPSCderived neurons.,CONTRADICT
Cost effectiveness evaluations based on cRCT data accurately reflect prices for patients in actual clinical practice.,CONTRADICT
DRD1 proteins enable Pol V transcription in vivo.,SUPPORT
Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection increases dissemination of Salmonella Typhimurium from the gut.,SUPPORT
Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,CONTRADICT
Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,SUPPORT
Differentiation of progenitor cells to myeloid cells is skewed when insulin signaling is suppressed.,SUPPORT
Egr2 regulates the homeostasis of B and T cells.,SUPPORT
Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,SUPPORT
Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,SUPPORT
Exercise reduces cancer mortality rates among Chinese citizens.,SUPPORT
Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,SUPPORT
Forkhead 0 (fox0) transcription factors are involved in apoptosis.,SUPPORT
Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,SUPPORT
GATA-3 is important for hematopoietic stem cell (HSC) function.,SUPPORT
GATA3 regulates self-renewal capacity in bone marrow hematopoietic stem cells.,SUPPORT
Gene expression does not vary appreciably across genetically identical cells.,CONTRADICT
"Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.",SUPPORT
Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,CONTRADICT
Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,SUPPORT
Headaches are not correlated with cognitive impairment.,SUPPORT
High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,CONTRADICT
"Human embryonic stem cells give rise to cell types from the outer embryonic germ layer, but not the other two layers.",CONTRADICT
Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,SUPPORT
Hypocretin neurones induce panicprone state in rats.,SUPPORT
Hypothalamic glutamate neurotransmission is unrelated to energy balance.,CONTRADICT
IgA plasma cells that are specific for transglutaminase 2 are scarce in the duodenal mucosa of celiac disease patients when the disease is active.,CONTRADICT
"In S. cerevisiae, the absence of RNA surveillance pathways reduces sensitivity to high iron conditions.",CONTRADICT
"In adult tissue, most T cells are memory T cells.",SUPPORT
"In breast cancer, the loss of myoepithelial cells promotes the transition of ductal carcinoma in situ to invasive carcinoma.",SUPPORT
"In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.",SUPPORT
Incidence rates of cervical cancer have decreased.,SUPPORT
Including pharmacists in rounding teams does not alter the incidence of adverse drug events (ADEs).,CONTRADICT
Including pharmacists in rounding teams reduces the incidence of adverse drug events (ADEs).,SUPPORT
Increased microtubule acetylation repairs LRRK2 Roc-COR domain mutation induced locomotor deficits.,SUPPORT
Increased microtubule acetylation repairs interference of axonal transport caused by LRRK2 Roc-COR domain mutations.,SUPPORT
Induced hepatic stem cells possess the potential to differentiate into cholangiocytic cells.,SUPPORT
Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,SUPPORT
Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.,CONTRADICT
Integrated care is ineffective at tackling multiple comorbidities.,CONTRADICT
JMJD6 catalyzes the hydroxylation of C-terminal lysine and supresses transcriptional activity.,SUPPORT
JMJD6 slows the hydroxylation of C-terminal lysine,CONTRADICT
Klf2 is important for proper myeloid cell function.,SUPPORT
Klf4 is important for proper myeloid cell differentiation.,SUPPORT
Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes fibrosis.,SUPPORT
Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.,SUPPORT
Low nucleosome occupancy correlates with high methylation levels across species.,SUPPORT
Macrolides have no protective effect against myocardial infarction.,SUPPORT
MafA ubiquitination decreases the recruitment of coavtivator P/CAF by MafA.,CONTRADICT
Medications to treat obesity do not have side effects.,CONTRADICT
Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,SUPPORT
Microcin J25 inhibits nucleoside triphosphate (NTP) binding.,SUPPORT
Migraine with aura is associated with ischemic stroke.,SUPPORT
Mitochondria play a major role in apoptosis.,SUPPORT
Monoclonal antibody targeting of N-cadherin inhibits growth.,SUPPORT
Monoclonal antibody targeting of N-cadherin inhibits metastasis.,SUPPORT
Nonhypertensive people who are 55 years old have a 90% chance of developing hypertension during their lifetime.,SUPPORT
Normal granulomas form in the presence of TNF in Zebrafish.,CONTRADICT
Notch signaling occurs between tumor cells and stromal cells.,SUPPORT
Oat tolerant coeliac patients may have oat specific inflammatory cells in their small bowel mucosa.,SUPPORT
Occupancy of ribosomes by IncRNAs do not make functional peptides.,CONTRADICT
One in five surgical randomized controlled trials are discontinued early.,SUPPORT
Participating in six months of physical activity improves cognitive functioning.,SUPPORT
Patients in stable partnerships progress from HIV to death at the same rate as patients not in partnerships.,CONTRADICT
Patients with common epithelial cancers  are more likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,SUPPORT
Pioglitazone use is not associated with an increased risk of prostate cancer.,CONTRADICT
Pre-mRNAs associated with spliceosomal components are more stable than unassociated splicing substrates.,SUPPORT
Primary cervical cancer screening with HPV detection has lower longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,CONTRADICT
Pyridostatin decreases telomere fragility in BRCA2-deficient cells.,CONTRADICT
Pyridostatin deregulates G2/M progression.,SUPPORT
Pyridostatin prevents double-strand breaks accumulation.,CONTRADICT
Pyridostatin stabilizes the G - quadruplex in the telomeric region.,SUPPORT
RAD52 is involved in break-induced DNA replication (BIR).,SUPPORT
RTEL1 interacts with TRF2 through a C4C4 motif,SUPPORT
Rapamycin delays aging in fruit flies.,SUPPORT
Reducing H3k4me3 methylation induces mouse epiblast stem cells to naive pluripotency efficiently.,SUPPORT
Replacement of histone H2A with H2A.Z accelerates gene activation in yeasts by destabilizing +1 nucleosomes.,SUPPORT
Rhythmic expression of Cry1 translates directly into a circadian regulation of cAMP signaling in gluconeogenesis.,SUPPORT
Ribosomopathies have a low degree of cell and tissue specific pathology.,CONTRADICT
Risk-adjusted mortality rates are similar in teaching and non-teaching hospitals.,SUPPORT
Satellite cell dysfunction is a key factor in sarcopenia development.,CONTRADICT
Silencing of Bcl2 is important for the maintenance and progression of tumors.,CONTRADICT
Stiff substrates encourage mesodermal differentiation by degrading beta-catenin in an integrin-dependent manner.,CONTRADICT
Suboptimal nutrition is a leading cause of premature death,SUPPORT
Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the proximal humerus.,SUPPORT
Systemic lupus erythematosus is a risk factor for cardiovascular disease.,SUPPORT
The NF-κB essential modulator gene induces intestinal inflammation by promoting receptor-interacting protein (RIP) kinase 1 kinase activity-mediated epithelial cell death.,CONTRADICT
The NF-κB essential modulator gene prevents intestinal inflammation by inhibiting receptor-interacting protein (RIP) kinase 1 kinase activity-mediated epithelial cell death.,SUPPORT
The Snf1 complex regulates carbon and energy metabolism in baker's yeast (Saccharomyces cerevisiae).,SUPPORT
The YAP1 and TEAD complex tanslocates into the nucleus where it interacts with transcription factors and DNA-binding proteins that modulate target gene transcription.,SUPPORT
The extracellular domain of TMEM27 is cleaved in human beta cells.,SUPPORT
The generation of reactive oxygen species by activated oncogenes contributes to the increased genomic instability of leukaemia cells.,SUPPORT
The genomic aberrations found in matasteses are very similar to those found in the primary tumor.,CONTRADICT
The innate immune response struggles to remove small numbers of parasites.,CONTRADICT
The locus rs647161 is associated with colorectal carcinoma.,SUPPORT
The mean suicide rate in women is higher after miscarriage than live birth.,SUPPORT
The minor G allele of FOXO3 downregulates pro-inflammatory cytokines.,SUPPORT
The myocardial cell lineage originally develops from cardiac progenitors of exclusively endodermal origin.,CONTRADICT
The risk of male prisoners harming themselves is ten times that of female prisoners.,CONTRADICT
The sliding activity of kinesin-8 protein Kip3 promotes bipolar spindle assembly.,SUPPORT
There was an estimated 30 million cases of pneumonia in young children worldwide in 2010.,SUPPORT
Thigh-length graduated compression stockings (GCS) did not reduce deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke.,SUPPORT
Upregulation of dynein in Drosophila neurons increases the number of microtubule plus-ends growing toward the cell body of each neuron.,CONTRADICT
Varying expression levels of EBI2 affect the positioning and migration of B cells.,SUPPORT
VgrG (Tssl) protein punctures membranes by forming a spike at the tip of the tube apparatus.,SUPPORT
Whole brain radiotherapy increases the occurrence of new brain metastases.,CONTRADICT
miR-142-5P is a temperature-sensitive microRNA (miRNA).,SUPPORT
siRNA knockdown of A20 accelerates tumor progression in an in vivo murine xenograft model.,CONTRADICT
1 in 5 million in UK have abnormal PrP positivity.,CONTRADICT
"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",SUPPORT
1/2000 in UK have abnormal PrP positivity.,SUPPORT
32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,SUPPORT
40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,SUPPORT
76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,SUPPORT
A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,CONTRADICT
A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,SUPPORT
A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,CONTRADICT
A deficiency of folate increases blood levels of homocysteine.,SUPPORT
A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,SUPPORT
A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,SUPPORT
A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,SUPPORT
A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.,SUPPORT
"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",CONTRADICT
AIRE is expressed in some skin tumors.,SUPPORT
ALDH1 expression is associated with better breast cancer outcomes.,CONTRADICT
ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,SUPPORT
ALDH1 expression is associated with poorer prognosis in breast cancer.,SUPPORT
AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,CONTRADICT
APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,SUPPORT
"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",CONTRADICT
APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.,CONTRADICT
ART has no effect on the infectiveness of HIV-positive people.,CONTRADICT
ART substantially reduces infectiveness of HIV-positive people.,SUPPORT
Activated Cdk5 regulates DNA damage-induced neuronal death.,SUPPORT
Activation of PPM1D suppresses p53 function.,SUPPORT
Active Ly49Q induces neutrophil polarization.,SUPPORT
Active caspase-11 participate in regulating phagosome-lysosome fusion.,SUPPORT
Adult tissue-resident macrophages are seeded before birth.,SUPPORT
Adult tissue-resident macrophages possess a self-renewing capacity.,SUPPORT
All hematopoietic stem cells segregate their chromosomes randomly.,SUPPORT
Alteration of origin firing causes changes in termination zones of Okazaki fragments.,CONTRADICT
Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.,CONTRADICT
Amitriptyline is an effective treatment for chronic tension-type headaches.,SUPPORT
An M2-like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure.,SUPPORT
Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,SUPPORT
Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,CONTRADICT
Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,SUPPORT
Anthrax spores are very difficult to dispose once they are dispersed.,SUPPORT
Anthrax spores can be disposed of easily after they are dispersed.,CONTRADICT
Anthrax spores remain deadly until affected areas are decontaminated.,SUPPORT
Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,SUPPORT
Antidepressants increase the severity of migraines.,CONTRADICT
Antidepressants reduce the severity of migraines.,SUPPORT
Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,CONTRADICT
Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,SUPPORT
Articles published in open access format are more likely to be cited than traditional journals.,SUPPORT
Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,SUPPORT
Asymptomatic visual impairment screening in elderly populations leads to improved vision.,CONTRADICT
Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,CONTRADICT
Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,SUPPORT
Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,SUPPORT
Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,SUPPORT
Autophagy declines in aged organisms.,SUPPORT
Autophagy deficiency in the liver increases vulnerability to insulin resistance.,CONTRADICT
B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.,SUPPORT
BCL-2 activation antagonizes the apoptotic effects of c-Myc.,SUPPORT
BCL-2 promotes the apoptotic effects of c-Myc.,CONTRADICT
BLM gene encodes RecQ-class DNA helicase.,SUPPORT
BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,SUPPORT
Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,SUPPORT
Bariatric surgery has a positive impact on mental health.,SUPPORT
Bariatric surgery increases rates of postmenopausal breast cancer.,SUPPORT
Bariatric surgery leads to positive outcomes in mental health.,SUPPORT
Bariatric surgery reduces colorectal cancer.,CONTRADICT
Bariatric surgery reduces postmenopausal breast cancer.,CONTRADICT
Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,CONTRADICT
Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,SUPPORT
Binding of p53 to enhancer regions (p53BERs) regulates the activity of p53 transcription and cell cycle arrest through the production of p53-dependent eRNAs.,SUPPORT
Birth-weight is negatively associated with breast cancer.,CONTRADICT
Birth-weight is positively associated with breast cancer.,SUPPORT
Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.,CONTRADICT
Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 prevents TDP-43-induced neuronal loss.,SUPPORT
Bone marrow cells contribute to adult macrophage compartments.,CONTRADICT
Bone marrow cells don't contribute to adult macrophage compartments.,SUPPORT
Breast cancer development is determined exclusively by genetic factors.,CONTRADICT
Broadly HIV-1 Neutralizing Antibodies (bnAb) 10EB have no affinity for phospholipids.,SUPPORT
C2 works synergistically with A-769662 to activate dephosphorylated AMPK.,SUPPORT
CCL19 is a ligand for CCR7.,SUPPORT
"CD28 initiates tonic signaling in conventional T cells, which causes an exhaustion phenotype and limited efficiency.",SUPPORT
CD28 signals regulate trafficking of murine auto-reactive T cells into target tissues.,SUPPORT
CD44v6 is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis.,CONTRADICT
CHEK2 is not associated with breast cancer.,SUPPORT
CR is associated with higher methylation age.,CONTRADICT
CX3CR1 on the Th2 cells impairs T cell survival,CONTRADICT
CX3CR1 on the Th2 cells promotes T cell survival,SUPPORT
CX3CR1 on the Th2 cells promotes airway inflammation.,SUPPORT
CX3CR1 on the Th2 cells suppresses airway inflammation.,CONTRADICT
Ca2+ cycling controls whole-body energy homeostasis in beige fat.,SUPPORT
Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,CONTRADICT
Ca2+ cycling is a UCP1-independent thermogenic mechanism.,SUPPORT
Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,SUPPORT
Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,SUPPORT
Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,SUPPORT
Cell autonomous sex determination in somatic cells does not occur in Galliformes.,CONTRADICT
Cell autonomous sex determination in somatic cells occurs in Passeriformes.,SUPPORT
Cellular aging closely links to an older appearance.,SUPPORT
